Original: accept|charset , predicted 1st: add|attribute
Original: stop|threads , predicted 1st: stop
Original: pre|head , predicted 1st: init
Original: h , predicted 1st: set|selector
Original: href , predicted 1st: add|attribute
Original: main , predicted 1st: run
Original: remove|acl , predicted 1st: remove
Original: get|address|of|active , predicted 1st: get|server
Original: pre|head , predicted 1st: set|up
Original: mkdir , predicted 1st: create|parent
Original: class , predicted 1st: add|attribute
Original: root , predicted 1st: root
Original: seek , predicted 1st: write
Original: about|page , predicted 1st: get|model
Original: mkdir , predicted 1st: check
Original: class , predicted 1st: add|attribute
Original: add|all|task|reports , predicted 1st: set|task|task
Original: set|application|id , predicted 1st: set|application|id
Original: remove , predicted 1st: remove
Original: set|seed , predicted 1st: set
Original: add|user|conf , predicted 1st: set|user|groups
Original: convert|to|proto|format , predicted 1st: get
Original: test|create|x|attr , predicted 1st: test|set|enum
Original: job|counters , predicted 1st: job
Original: post , predicted 1st: do|get
Original: main , predicted 1st: parse
Original: add|all|completion|events , predicted 1st: add|completion|events
Original: needs|quoting , predicted 1st: is
Original: id , predicted 1st: add|attribute
Original: list|status , predicted 1st: get|status
Original: new|instance , predicted 1st: get|request
Original: mkdirs , predicted 1st: is
Original: load|token , predicted 1st: read|state
Original: contains , predicted 1st: is
Original: get|task|log|url , predicted 1st: get|task|name|name
Original: add|managed|listener , predicted 1st: add|listener
Original: class , predicted 1st: add|attribute
Original: test|remove|x|attr , predicted 1st: test|set
Original: add|transition|to|active|cli|opts , predicted 1st: add|option
Original: set|size , predicted 1st: set|size
Original: del , predicted 1st: get
Original: get|web|app|context , predicted 1st: get|web|app|context
Original: main , predicted 1st: main
Original: class , predicted 1st: add|attribute
Original: get|root , predicted 1st: get
Original: remove|cache|pool , predicted 1st: remove|pool|pool
Original: append , predicted 1st: on|event
Original: maybe|init|builder , predicted 1st: new|builder
Original: gauge , predicted 1st: set
Original: get|default|extension , predicted 1st: get|name
Original: add|failover|thread , predicted 1st: test
Original: do|an|action , predicted 1st: test
Original: remove , predicted 1st: remove
Original: init|application|tags , predicted 1st: set|application|tags
Original: list|x|attrs , predicted 1st: do|get
Original: add|context , predicted 1st: set|path|path
Original: gauge , predicted 1st: set
Original: close , predicted 1st: release|close
Original: init|scope , predicted 1st: set|up|from|string
Original: remove|datanode , predicted 1st: set
Original: id , predicted 1st: add|attribute
Original: open , predicted 1st: get|file
Original: h , predicted 1st: get
Original: h , predicted 1st: 
Original: set|up , predicted 1st: set|up
Original: create|dir , predicted 1st: set|permissions
Original: pre , predicted 1st: pre|pre|pre|pre|pre|pre
Original: ul , predicted 1st: set|selector
Original: create|symlink , predicted 1st: create
Original: cite , predicted 1st: add
Original: b , predicted 1st: get
Original: new|instance , predicted 1st: new|response
Original: get|one|line , predicted 1st: get|text
Original: scale|config|parameter , predicted 1st: set|value|value
Original: onblur , predicted 1st: add|attribute
Original: h , predicted 1st: 
Original: var , predicted 1st: get
Original: script , predicted 1st: script|script
Original: maybe|init|builder , predicted 1st: do|test
Original: set|job|report , predicted 1st: set|job|job
Original: set|from|event|id , predicted 1st: set|from|event|id
Original: run|tool , predicted 1st: test
Original: get|job|submission|policy , predicted 1st: get|policy
Original: class , predicted 1st: add|attribute
Original: get|hadoop|proxy|user , predicted 1st: get|name
Original: set|container|report , predicted 1st: set|container
Original: class , predicted 1st: add|attribute
Original: render , predicted 1st: run
Original: make|done|subdir , predicted 1st: add
Original: get|job|id , predicted 1st: get|job|id
Original: var , predicted 1st: get|var
Original: new|instance , predicted 1st: create|token|token
Original: form , predicted 1st: set|selector
Original: h , predicted 1st: get
Original: set|times , predicted 1st: set
Original: unquote|html|chars , predicted 1st: get|item
Original: refresh|admin|acls , predicted 1st: refresh
Original: set|quota , predicted 1st: set
Original: data , predicted 1st: add|attribute
Original: main , predicted 1st: main
Original: render , predicted 1st: get|job|info
Original: parse|counters , predicted 1st: parse
Original: set|delegation|token , predicted 1st: foo
Original: new|instance , predicted 1st: create|request|request
Original: id , predicted 1st: add|attribute
Original: ol , predicted 1st: set|selector
Original: print|help , predicted 1st: print
Original: get|task|id , predicted 1st: get|task|id
Original: h , predicted 1st: get
Original: convert , predicted 1st: get|state
Original: get|decompressor|type , predicted 1st: get|model
Original: run , predicted 1st: do|test
Original: run , predicted 1st: do|work
Original: is|method|supported , predicted 1st: is|supported|supported
Original: counter|pattern , predicted 1st: get|pattern|name
Original: read|input|line , predicted 1st: get|string
Original: set|last|service|status , predicted 1st: set|last|service|service
Original: setup|dist|cache|emulation , predicted 1st: create
Original: set|response , predicted 1st: set|response|response
Original: modify|acl|entries , predicted 1st: do|process
Original: create|input|stream , predicted 1st: create|stream
Original: largest|depth , predicted 1st: get|all
Original: get|excluded|hosts , predicted 1st: get|excludes
Original: pre|head , predicted 1st: set
Original: span , predicted 1st: set|selector
Original: get|default|replication , predicted 1st: get|default
Original: merge|local|to|builder , predicted 1st: set|token
Original: id , predicted 1st: add|attribute
Original: convert|to|proto|format , predicted 1st: get
Original: test|non|existent|user , predicted 1st: test|get|output|output
Original: get|task|attempt|id , predicted 1st: get|task|task|id
Original: width , predicted 1st: add|attribute
Original: get|job|id , predicted 1st: get|job|id
Original: join , predicted 1st: test
Original: set|link|href , predicted 1st: get
Original: get|proto , predicted 1st: build
Original: tear|down , predicted 1st: tear|down
Original: set|start|range , predicted 1st: set|range
Original: test|replace|x|attr , predicted 1st: test|set
Original: conf|random , predicted 1st: write
Original: alt , predicted 1st: add
Original: get|slope , predicted 1st: get
Original: remove|acl , predicted 1st: validate
Original: dfn , predicted 1st: get
Original: get|datanode|by|host , predicted 1st: get|node
Original: get|connection , predicted 1st: get|http|url
Original: onfocus , predicted 1st: add|attribute
Original: set|not|ready|to|become|active , predicted 1st: set|active|to|active
Original: class , predicted 1st: add|attribute
Original: read|fields , predicted 1st: read
Original: print|error , predicted 1st: print
Original: get|request|log , predicted 1st: get|request
Original: main , predicted 1st: run
Original: service|start , predicted 1st: start
Original: get|compressor|type , predicted 1st: get|native|options
Original: pre|head , predicted 1st: set|up
Original: add|internal|servlet , predicted 1st: add
Original: get|name|node|id , predicted 1st: get|id
Original: new|instance , predicted 1st: create|request
Original: set|times , predicted 1st: do|get
Original: id , predicted 1st: add|attribute
Original: prepare|to|exit|state , predicted 1st: on|service
Original: read|balanced|line , predicted 1st: read|line
Original: sub , predicted 1st: sub
Original: print|map , predicted 1st: print|host
Original: decode|har|uri , predicted 1st: get|uri
Original: address , predicted 1st: address
Original: configure|failover|fs , predicted 1st: get
Original: sup , predicted 1st: 
Original: input , predicted 1st: input
Original: run , predicted 1st: get|user
Original: run , predicted 1st: get|job
Original: get|path|in|har , predicted 1st: get|path|path
Original: add|filter , predicted 1st: filter
Original: canonical|history|log|path , predicted 1st: create
Original: class , predicted 1st: add|attribute
Original: get|encryption|zone|for|path , predicted 1st: get|path|path
Original: modify|cache|directive , predicted 1st: cache|cache
Original: blockquote , predicted 1st: 
Original: init|existing , predicted 1st: run
Original: get|link|target , predicted 1st: get|target|path
Original: read , predicted 1st: read
Original: get|users , predicted 1st: get|users
Original: get|logical|hostname , predicted 1st: get
Original: help , predicted 1st: get|next
Original: get|fencing|parameters , predicted 1st: get|parameters
Original: new|instance , predicted 1st: get|request|request
Original: get|ugm|protocol , predicted 1st: get|user|protocol
Original: maybe|init|builder , predicted 1st: do|test
Original: cite , predicted 1st: add
Original: get|admin|group , predicted 1st: get|group|admin
Original: hash , predicted 1st: get
Original: close , predicted 1st: close
Original: value , predicted 1st: add|attribute
Original: delete|dir , predicted 1st: do|delete
Original: close , predicted 1st: close
Original: h , predicted 1st: set|selector
Original: create|default|channel|connector , predicted 1st: get|native|socket
Original: set|application|states , predicted 1st: set|application|application
Original: div , predicted 1st: get
Original: onload , predicted 1st: add
