Original: get|min|height , predicted 1st: get|min|height
Original: get|use|component|vertices , predicted 1st: is
Original: set|hit|fraction , predicted 1st: 
Original: get|free|count , predicted 1st: get
Original: set|next|free , predicted 1st: set
Original: get|quantized|aabb|min , predicted 1st: 
Original: solve|constraints , predicted 1st: init
Original: get|max|motor|force , predicted 1st: 
Original: set|escape|index , predicted 1st: set
Original: swig|release|ownership , predicted 1st: test|change
Original: delete , predicted 1st: delete
Original: get|indices , predicted 1st: set|buffer
Original: get|c|ptr , predicted 1st: get
Original: get|rb|a|frame , predicted 1st: get|data|data
Original: set|part|id , predicted 1st: set|id
Original: slerp , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: update|pose , predicted 1st: test|update
Original: get|pool|address , predicted 1st: get|pool|pool
Original: get|relpos|cross|normal , predicted 1st: 
Original: get|shape|type , predicted 1st: get
Original: set|escape|index , predicted 1st: set
Original: update|wheel|transform , predicted 1st: update
Original: serialize|in|place , predicted 1st: data
Original: get|c|ptr , predicted 1st: get
Original: sort|overlapping|pairs , predicted 1st: sort|sort
Original: get|limit|softness , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: find|linear|search , predicted 1st: find|string
Original: report|ray|overlapping|nodex , predicted 1st: 
Original: get|aabb|min|org , predicted 1st: get|float
Original: get|center|of|mass|position , predicted 1st: get
Original: get|applied|impulse , predicted 1st: 
Original: get|pivot|in|b , predicted 1st: double|double
Original: set|triangle|index , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: swig|take|ownership , predicted 1st: test
Original: delete , predicted 1st: delete
Original: process|overlap , predicted 1st: accept
Original: get|c|ptr , predicted 1st: get|int|int|int
Original: create|entry , predicted 1st: create|entry
Original: set|friction|solver|type , predicted 1st: set
Original: get|softness|lim|lin , predicted 1st: get
Original: capacity , predicted 1st: get|array|array
Original: set|dist , predicted 1st: set
Original: append|angular|joint , predicted 1st: visit|body
Original: init|union|find , predicted 1st: init
Original: set|config|k|ss|splt|cl , predicted 1st: set|concurrent|config
Original: get|target|velocity , predicted 1st: 
Original: delete , predicted 1st: delete
Original: delete , predicted 1st: delete
Original: create|entry , predicted 1st: create|entry
Original: set|total|density , predicted 1st: set|total
Original: set|contact|normal , predicted 1st: set|numeric|span
Original: get|num|contiguous|leaf|nodes , predicted 1st: get
Original: get|c|ptr , predicted 1st: get|obj
Original: set|current|limit , predicted 1st: set
Original: set|hi|limit , predicted 1st: 
Original: create|from|tri|mesh , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: set|local|position|array|ptr , predicted 1st: multi|multi|valued
Original: delete , predicted 1st: delete
Original: test|ang|limits , predicted 1st: test
Original: create|entry , predicted 1st: create|entry
Original: get|linear|damping , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: set|current|limit , predicted 1st: set
Original: get|servo|motor , predicted 1st: is
Original: create|entry , predicted 1st: create|entry
Original: get|plane|constant , predicted 1st: get
Original: generate|clusters , predicted 1st: generate|native
Original: get|steering|value , predicted 1st: get
Original: get|flags , predicted 1st: get|flags
Original: initialize , predicted 1st: set
Original: get|nqueries , predicted 1st: get
Original: set|num|subtree|headers , predicted 1st: set
Original: set|floats , predicted 1st: set
Original: p|solve|links , predicted 1st: set
Original: set|sst , predicted 1st: set
Original: set|total|mass , predicted 1st: set|total|total
Original: create|entry , predicted 1st: create|entry
Original: set|config|k|df , predicted 1st: set|concurrent|config
Original: get|from , predicted 1st: 
Original: cluster|v|impulse , predicted 1st: 
Original: delete , predicted 1st: delete
Original: set|vertex , predicted 1st: set
Original: set|num|anchors , predicted 1st: set|float|data
Original: create|entry , predicted 1st: create|entry
Original: is|limited , predicted 1st: is
Original: set|current|limit , predicted 1st: set
Original: compute|gyroscopic|impulse|implicit|world , predicted 1st: 
Original: get|stop|cfm , predicted 1st: 
Original: set|indices , predicted 1st: set|data
Original: get|chassis|world|transform , predicted 1st: get
Original: reset , predicted 1st: reset
Original: set|constraint|row|solver|generic , predicted 1st: set
Original: resize|no|initialize , predicted 1st: set
Original: get|lower|limit , predicted 1st: 
Original: reset , predicted 1st: reset
Original: create|entry , predicted 1st: create|entry
Original: ray|test|single , predicted 1st: on|result
Original: get|water|offset , predicted 1st: start|info
Original: set|nprobes , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: delete , predicted 1st: delete
Original: set|normal|on|surface|b , predicted 1st: on|jdbc|result
Original: get|info|non|virtual , predicted 1st: write|body
Original: dispose , predicted 1st: dispose
Original: get|hash|table|size , predicted 1st: get|data
Original: get|node|pointer , predicted 1st: get
Original: update|normals , predicted 1st: test|update
Original: get|num|sub|parts , predicted 1st: get
Original: delete , predicted 1st: delete
Original: append|link , predicted 1st: append|xml|link
Original: get|sub|tree|info|ptr , predicted 1st: get|data|data
Original: set|body|b , predicted 1st: set|data
Original: set|aabb|max|org , predicted 1st: set|float
Original: set|config , predicted 1st: set|value|data
Original: predict|integrated|transform , predicted 1st: set
Original: pop|back , predicted 1st: 
Original: set|softness|ortho|lin , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: remove|constraint|ref , predicted 1st: set
Original: get|has|result , predicted 1st: is
Original: get|c|ptr , predicted 1st: get
Original: get|world|transform , predicted 1st: on
Original: de|serialize , predicted 1st: 
Original: get|part|id , predicted 1st: get|id
Original: set|type|constraint|data , predicted 1st: set|double|point
Original: get|vertex , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: set|total|force , predicted 1st: set|float|float
Original: get|up|axis , predicted 1st: get
Original: get|current|limit|error , predicted 1st: 
Original: get|param , predicted 1st: get|constraint
Original: set|draw|flags , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|sub|part , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: set|number|of|velocity|iterations , predicted 1st: set|code
Original: create|entry , predicted 1st: create|entry
Original: set|damping|dir|ang , predicted 1st: set
Original: get|c|ptr , predicted 1st: get|obj
Original: set|planar|epsilon , predicted 1st: set|data|data
Original: set|accumulated|impulse , predicted 1st: 
Original: get|materials , predicted 1st: 
Original: get|linear|lower|limit , predicted 1st: get
Original: get|spring|damping , predicted 1st: 
Original: get|max|displacement , predicted 1st: start|info
Original: set|current|limit|error|hi , predicted 1st: set
Original: get|inv|inertia|local , predicted 1st: get|float
Original: get|distance , predicted 1st: get|point|point
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: damp|clusters , predicted 1st: test
Original: delete , predicted 1st: delete
Original: set|rb|a|frame , predicted 1st: set|double
Original: create|entry , predicted 1st: create|entry
Original: get|active|constraint|row|solver|generic , predicted 1st: 
Original: delete , predicted 1st: delete
Original: get|basis , predicted 1st: get
Original: test|lin|limits , predicted 1st: test
Original: create|entry , predicted 1st: create|entry
Original: indices|to|pointers , predicted 1st: test|soft
Original: set|quantized|aabb|min , predicted 1st: 
Original: set|scaling , predicted 1st: set
Original: reset , predicted 1st: set
Original: aabb|overlap , predicted 1st: is|proxy|proxy
Original: get|joint|type , predicted 1st: get
Original: get|convex|epsilon , predicted 1st: get
Original: get|angular|velocity , predicted 1st: double
Original: get|c|ptr , predicted 1st: get
Original: append|angular|joint , predicted 1st: add
Original: get|faces , predicted 1st: get
Original: set|joints , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: set|transform|a , predicted 1st: set|shape
Original: delete , predicted 1st: delete
Original: set|enable|spring , predicted 1st: enable
Original: get|rigid|body , predicted 1st: get
Original: get|additional|damping , predicted 1st: get|jdbc|data
Original: set|num|quantized|contiguous|nodes , predicted 1st: set
Original: delete , predicted 1st: delete
Original: get|triangle|count , predicted 1st: get|callback
Original: clear|manifold , predicted 1st: 
Original: get|rhs , predicted 1st: get
Original: set|use|frame|offset , predicted 1st: set|use|frame
Original: create|entry , predicted 1st: create|entry
Original: delete , predicted 1st: delete
Original: set|config|k|sshr|cl , predicted 1st: set|concurrent|config
Original: set|volume|density , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: get|use|linear|reference|frame|a , predicted 1st: is
Original: get|part|id , predicted 1st: get
Original: add|triangle , predicted 1st: add
Original: push|back , predicted 1st: set|numeric|extractor
Original: apply|gravity , predicted 1st: 
Original: delete , predicted 1st: delete
Original: set|rhs , predicted 1st: set
Original: calculate|diff|axis|angle|quaternion , predicted 1st: collect|diff
Original: delete , predicted 1st: delete
Original: get|linear|factor , predicted 1st: get|float
Original: reset , predicted 1st: reset
Original: hash , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: delete , predicted 1st: delete
Original: append|link , predicted 1st: append|link
Original: set|bvh|quantization , predicted 1st: set|double|double
Original: create|entry , predicted 1st: create|entry
Original: set|num|quantized|contiguous|nodes , predicted 1st: set
Original: set|enable|motor , predicted 1st: enable
Original: get|c|ptr , predicted 1st: get
Original: initialize|from|buffer , predicted 1st: set
Original: set|current|limit , predicted 1st: set
Original: get|softness|ortho|ang , predicted 1st: get
Original: delete , predicted 1st: delete
Original: find|binary|search , predicted 1st: get
Original: get|c|ptr , predicted 1st: get
Original: set|world|transform , predicted 1st: visit|xml
Original: serialize , predicted 1st: 
Original: get|current|limit , predicted 1st: 
